0,1,2,3,4,5,6,7,8,9,10,11,12
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-4,AB2-406 SELE,SELECT B2+T,B2+TB2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS101P Quan,Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-1,AB3-108,G1+T,G1+TG1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BSTS102P Quan,Quantitative Skills Practice II SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-507,E2+T,E2+TE2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BSTS201P Quali,Qualitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-1,AB3-104,B2+T,B2+TB2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BSTS202P Quali,Qualitative Skills Practice II SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-403,F2+TF,F2+TF2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB2-3,AB2-304 SMEC,SMEC D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB2-3,AB2-306 SMEC,SMEC D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-4,AB1-409 SMEC,SMEC D1+T,D1+TD1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-4,AB1-410 SMEC,SMEC D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB2-3,AB2-304 SMEC,SMEC D2+T,D2+TD2 FACE,FACE FACE,FACE (APT)
